제목,가수,가사
Dawn of Light (Feat. ABOPF),럭셔리빌라 (LUXURY VILLA),"Chagrin Falls (불완전한 상태의 나로)
앞이 보이지 않는 건 (나를 좀 더 사랑해야 한다는 것)
더 타오르는 마음과 (먼 길을 가는 게 나라도)
뒤처져가는  긴장감에 (그저 타올라 가는 어린 마음도)
i wanna be in love
i wanna fall in love
i got my priority
이건 날 위한 이야기일 뿐
돌아왔다고 생각은 말어 
Growing up is not without
각자의 길이 제일 어두운 밤
처럼 비춰 보인 것뿐야 
편안함 속에 덫을 놔둬
밟아버렸지 게으름 따위
뒤엉켜버린 내 앞에 넝쿨담
누군가는 입에 거품 가득
그 안에 가둬진 것들과
백일몽인가 했던 꿈과
상처를 남기는 거짓말도
지나가보면 말장난
떠나간이도 나를 봐
기도할게 등지고 말야
Out of sight, 그저 out of mind
Out of sight, 그저 out of mind
내 숨을 조여온 고통에도
freedom is not free
아 느린 어제로 이루어진 나는
스스로를 태우고 또
다 굳어진 것은 단단하고도
더 높이로 쌓이게 되리
you know i'm drowning 
i know you slight me
거짓말 같은 머리말
쌓인 기억 어딘가에
숨이 차올라도 먼훗날을
그리며 그대로 보여 
돌아왔다고 생각은 말어 
Growing up is not without
각자의 길이 제일 어두운 밤
처럼 비춰 보인 것뿐야 
편안함 속에 덫을 놔둬
밟아버렸지 게으름 따위
뒤엉켜버린 내 앞에 넝쿨담
누군가는 입에 거품 가득
그 안에 가둬진 것들과
백일몽인가 했던 꿈과
상처를 남기는 거짓말도
지나가보면 말장난
떠나간이도 나를 봐
기도할게 등지고 말야
Out of sight, 그저 out of mind
Out of sight, 그저 out of mind
내 숨을 조여온 고통에도
freedom is not free
Failing to plan is planning to fail
먼지 쌓인 과거의 기억이 단색  
We Need to build up 왜
We Need to build up 왜
We Need to build up 왜
Failing to plan is planning to fail
머지않은 미래에 걸어 눈앞에 
We Need to build up 왜
We Need to build up 왜
We Need to build up 왜"
Be ambitious boy,"스카프 (SC4F), 마디 (MADII)","모자를 푹 눌러 썼지
내 눈이 안 보이게
더 빼입었지 눈들이 모이게
시작은 작은 마이크 하나뿐
깔렸지 내 노랜 바닥 언저리 저 어디에 
동료들의 인정은 늘 도움이 돼
but 받는거보단 주는게 어렵지 like 소인배
끝이 없는 고민을 거듭해 
좇다가 버리는 꿈들이 몇 개일까 이 도시에
적어도 난 멈춘적은 없지 달려가
내 heel and toe
누가 뭐를 했던간에 전부 been there done that
앞서가야할뿐야 더 나은 미래로
작업실에서 새해를 맞이하고 있어
살아가면 되나 이대로
술에 취해서
내 시간을 버리기엔
젊음이 아깝기에
be ambitious boy
되면 rich ass boy 안되면 결국엔 다
bitch as fuck
낭비했던
시간들을 빚내서
싸워서라도 
나 이기겠어
나를 위해서
내 놈들은 거짓말을 치네
억지로 나를 믿네 더
너넬 위해서
내 주먹을 다시 쥘래
아니 손을 필래
다 가져가기 위해서
be ambitious boy
be ambitious boy
늦은 밤 계좌를 확인해
글렀어 발 뻗고 자기엔
늦은 밤 계좌를 확인해
글렀어 발 뻗고 자기엔
어제와 오늘을 달려 내일은
지금 나한테 달렸네
누가 이 놈들 좀 말려 
내가 듣는말과는 달라 왜 
남자가 입이 가볍네
자식들 귀를 가렵게해 
뱉은 말은 지켰지
내 가사는 현실이 돼 
시간이 갈수록 리스펙은 비싸지네
지금의 나와 비슷한 듯 해
쓸꺼야 난 역사를 내 인생 얘기에
왈가왈부하는 주변이 나를 헷갈리게해
오늘도 난 비싼옷을 하나 샀지
안 채워지네 마음이
통장이 텅텅 비었지만
기분은 나쁘지 않아
메고 있는 가방을 좀 무거운걸로 난 바꿔
가방을 매지않아도 내 어깨는 좀 아퍼
시도할게 아직 많지 이 도시안에 난
양손이 가볍게 난 못돌아가
내가 찾는 곳엔 뭐가 더 있을까
달릴꺼야 끝없이 꿈 꿨던 시간을
be ambitious boy
되면 rich ass boy 안되면 결국엔 다
bitch as fuck
낭비했던
시간들을 빚내서
싸워서라도
나 이기겠어
나를 위해서
내 놈들은 거짓말을 치네
억지로 나를 믿네 더
너넬 위해서
내 주먹을 다시 쥘래
아니 손을 필래
다 가져가기 위해서
be ambitious boy
be ambitious boy
늦은 밤 계좌를 확인해
글렀어 발 뻗고 자기엔
늦은 밤 계좌를 확인해
글렀어 발 뻗고 자기엔"
Tomahawk Freestyle (feat. Dok2),허클베리피 (Huckleberry P),"Huck P가 Keeproots beat를 타는 건
걍 Huck P가 Keeproots beat를 타는 것
Let’s go
올해의 구토 유발자, 들이밀어, 낯짝
때려죽여도 해야지, 이건 팔자
정치무새들의 눈빛이 또 반짝
걔들이 발작하는 모습이 최애 반찬
지우고 싶은 어제가 있네, 열파참
누굴 탓할 수도 없지, 다 자업자득
그때 마신 소주가 인생의 찐 막잔 
그때 마신 소주가 데려갔으니, 막장
허나 아직 들어가긴 일러, 관짝
이제 내 emoji는 불꽃 아닌 합장
모은 두 손과는 별개로 잘 타는 박자
쉬워 보여도 흉내는 못 내, Beckham의 감차
걍 거름으로 썩기엔 아까운 짬
누구 맘대로 관둬, 여전히 한창
별명이 바뀌어, 육두문자의 남자
쌍욕으로 도배되어 있어도 넘겨, 다음 장, what?
H-U-C-K-L-E-P
Huckleberry in the place to be
얼른 열어, 너의 전화기
친구들에게 전하기
I’m back on the microphone
누군가에게 난 영원히 나쁜 놈
그래도 아직은 닫지 못해, 관뚜껑
그래서 오늘도 I’m back on the microphone
그래, 난 뼛속까지 설명충
좆같은 interview, 내가 봐도 멍충
모두를 설득하는 짓은 멈춤
이제 이걸 할 때만 입술 떼는 걸 연습 중
더 이상 위로 가지 못해도 내밀어, 다음 스텝
걍 하는 거지, 뭐, 김연아의 스탠스
They said 이제 그만 해먹을 나이지
내려가더라도 천천히 패러글라이딩
뒤지긴 전까진 이 짓을 못 끊어
자격 운운할 거면 kiss my 똥꾸멍
Hip-hop이 어쩌구저쩌구, 다 fuck ‘em all
난 너의 뚜껑을 열리게 하는 오프너
Middle fingers up, everybody
수천의 붉은 점이 내 이마에
청개구리, 내 전매특허
어쩌라고, 걍 꼴린 대로 뱉을 거야
H-U-C-K-L-E-P
Huckleberry in the place to be
얼른 열어, 너의 전화기
친구들에게 전하기
I’m back on the microphone
누군가에게 난 영원히 나쁜 놈
그래도 아직은 닫지 못해, 관뚜껑
그래서 오늘도 I’m back on the microphone
I’m back but I never left, that’s a fact
I don’t let my mic ever turn cold
대롱대는 eyeball, 내 맘 가는 대로 뱉어대도
다 풀리는 게 삶이란 걸 대표해
고개 들어, I don’t hesitate
부연 설명 필요 없지, 뻔한 hashtag
그 어떤 beat를 줘도 비틀거리지 않는
내 flow from 짭퉁 Kangol에서 원효대교
Coast to coast, Honolulu to New York
I’m a smooth operator, I’mma see you later
아름다운 섬에도, 뭐, 비는 내려
비 내린 후 기다리면 무지개는 짙게 새로
난 지켜, 태도, trynna be a better man
높이 치켜세워, 중지, but shit will never
S-T-O-P, they gon’ see
This that real fuckin’ H-I-P-H-O-P
난 D-O-K-2-G-O-N-Z-O
잘들 씹어댄
질겨진 내 이름 위에
뿌려, Sour Power, 난 늘 나다워
Ain’t no coward, 난 피할 수 없다면
또 맞서 싸워, every minute or hour
정신 꼭 잡어, 난 안 말려
니들 수준 낮음에 팔려, peace"
재회 (Feat. Leellamarz),Urban Fisher,"안녕 오랜만이야
이게 도대체 얼마만이야
제작년인가 문자했는데
많이 바빴던 모양이야
밟혀 여긴 함박 눈이
여긴 휙휙 계절이 바뀌는 중이지
이번 겨울 대비는 또 걱정이지
내 지갑은 말라가는 중인데
넌 좀 어때?
마지막 모습이 남았어 내 옆에
신경이 쓰이는걸 뭘 어떡해
난 단 하루도 멈춘 적이 없는데
혹시 기억해?
너가 내 곁을 떠나기 그 이전에
난 그땔 잘 벗어나고 있질 못해
여름날의 음성이 귓가를 맴도는데
보고싶은 만큼
그리웠던 만큼
사랑했던 만큼
안아볼래
딱 그만큼
흘린 눈물만큼
느낀
고통만큼
아팠던 것 만큼
안아볼래
딱 그만큼
널
안녕 오랜만이야 
이게 도대체 얼마만이야
우리 참 많이 사랑했는데
서로 바빴던 모양이야
모든게 끝났잖아 결국엔
너까지 far away 
몇가지 물을게
여기에 남아있는데
요즘 너는 어때? 
지내고 있니 즐겁게
또 누군가 있겠지
너의 옆에 쭉 
그렇게 살면돼
뭐 어때?
 I'm ok
난 너의 생각보다 더 비겁해
하루종일 puff &amp; pass 하
닳아버린 빠때리
I'm need some love
I'm need big house and ride
보고싶은 만큼
그리웠던 만큼
사랑했던 만큼
안아볼래
딱 그만큼
흘린 눈물만큼
느낀 고통만큼
아팠던 것 만큼
안아볼래
딱 그만큼
널"
잘 지내지 못할 거야 (Feat. 인하),처리 (Churry),"난 너무 멀리 와버렸지
행복이란 두 글자로부터
우린 기뻐해도 돼
나는 영원히
잘 지내지 못할 거야
만큼 우린 잘 지낼 거야
우릴 내가 잘 지내게 만들 거야
밤새 술을 마실 거야
오 나는 멈춘 적
없이 걸어왔고
홀로 몹시도 울어 봤어
이게 되든 안 되든
난 끝을 봤어야 했거든
내가 날 밀어
위험하게 더
쓰러져 버려
일어나지 못하게 더
딱 그만큼이 내
삶의 무게였나 봐
이유 없이 놓기엔
나 너무 무거웠나 봐
신이 있다면 내게 견딜 수 없는 시련을 주시길
이제 그만 내가 쓰러질 수 있도록
신이 있다면 내게 견딜 수 없는 시련을 주시길
이제 그만 내가 쓰러질 수 있도록
난 너무 멀리 와버렸지
행복이란 두 글자로부터
우린 기뻐해도 돼
나는 영원히
잘 지내지 못할 거야
만큼 우린 잘 지낼 거야
우릴 내가 잘 지내게 만들 거야
밤새 술을 마실 거야
실은 많이 드러워 내 하루의 review
수많은 인연 뒤로 하고서 걸어 지옥
대신 외로울 수 없음에도 비록 
우리가 나누어 가질 수 있기를 빌어
너무 많은 시기, 너무 많은 beef
너무 많은 눈빛과 또 너무 많은 아쉬움
폐허였던 길 위에서 We made a lot of story
또 learned a lot of lesson, 여전히 나는 위태
절반쯤만 가져갈 수 있겠니 어린 나의 맘
매순간마다 하긴 어려워 나잇값
달리다가 쭉 놓친게 많아
시계만 보다 보낸 미래같이
이제 나 더 이상 지지 않아 
지뢰밭에서조차 타이머만 돌아가면 금방
해체할 수 있겠지
나의 오랜 짐 tunnel like
난 너무 멀리 와버렸지
행복이란 두 글자로부터
우린 기뻐해도 돼
나는 영원히
잘 지내지 못할 거야
만큼 우린 잘 지낼 거야
우릴 내가 잘 지내게 만들 거야
밤새 술을 마실 거야
난 너무 멀리 와버렸지
행복이란 두 글자로부터
우린 기뻐해도 돼
나는 영원히
잘 지내지 못할 거야
만큼 우린 잘 지낼 거야
우릴 내가 잘 지내게 만들 거야
밤새 술을 마실 거야"
OUR,BOYNEXTDOOR,"같은 곳 나란히 걷고 있는 너와 나
태연한 척 웃지만 여전히 떨려 난
무슨 영활 봤는지
어떤 걸 먹었는지
I forgot errthing but your face
O U R O U R O U R
O U R O U R O U R
Oh you are oh your oh you are
Ay bro, aren’t you just nervous? Umm
Okay, it’s eleven o’clock 날씨 굿 굿 굿
기분 좋게 샤워, 콧노래 중얼 중얼 중얼
오늘 룩은 꾸안꾸 준비 끝 끝 끝
Check the 주소
지각하면 클나요 man
멀리서 손짓하는 네가 보여
가까워질수록 실감이 안 나
설마 꿈은 아니겠지
한숨도 못 잤는데
그때 말 거는 너
Hey hey hey
이어폰 양쪽 나눠 꼽아
딱 붙어서 꽁냥꽁냥
웃겨야 될까? 가만히 들어줘야 될까?
손 잡을까 말까? 어쩌면 좋아
핫플레이스 안에서 나 홀로 아이스브레이킹
I hope you feel the same way
같은 곳 나란히 걷고 있는 너와 나
태연한 척 웃지만 여전히 떨려 난
무슨 영활 봤는지
어떤 걸 먹었는지
I forgot errthing but your face
O U R O U R O U R
O U R O U R O U R
Oh you are oh your oh you are
Why should I be nervous?
I’m good
Tic toc tic toc
딩동 픽업해 디저트
입에 묻히며 먹는 모습이 귀여워
얼음만 남은 컵
홀짝거리며 talk
정신이 팔린 사이 바깥엔 해가 저물어
가로수 아래 우리 둘
나른해 풀 스치는 소리
시간아 이쯤에서 멈추어 줘
조금씩 느리게 걷고 있는 너와 나
저 골목만 지나면 너네 집 앞이야
이제는 우리가
헤어져야 할 시간
다음에 또 만나요 see ya
O U R O U R O U R
O U R O U R O U R
Oh you are oh your oh you are"
"서, 어른",키썸 (Kisum),"스무 살이 지난 후로 시간은 너무 빨리 가
민증 어제 나온 느낌인데 벌써 30이야
영원할 것 같던 10대는 기억도 잘 안 나
20대는 생각보다 너무 빨리 지나가
후회를 안 남겼다면 음 다 거짓말이고
난 아직도 내 꿈을 계속 찾는 중이고
30되면 집을 살 줄 알았던 건 꿈이고
SNS속 사람들은 전부 다 허풍이여
시간아 멈춰 멈춰
멈춰 멈춰
멈춰 멈춰
하기 싫어 서, 어른
시간아 멈춰 멈춰
멈춰 멈춰
멈춰 멈춰
하기 싫어 서, 어른
무기력해 매일매일
해내야 돼 Payday
가만히 있는데 흐르듯 돈 나가
코흘리개 찔찔이가 어른이 다 됐나 봐
맘은 지하에 있지만 밖에서는 해맑아 
나 후횐 없어
다시 반복돼도
난 아직 어려
누가 뭐라 해도
난 아직 젊기에 날아올라 비행
비바람 태풍이 친대도 언젠가 다시 꽃 피울게
시간아 멈춰 멈춰
멈춰 멈춰
멈춰 멈춰
하기 싫어 서, 어른
시간아 멈춰 멈춰
멈춰 멈춰
멈춰 멈춰
하기 싫어 서, 어른
솔직히 무서워 인생은 참 어려워
오답은 넘치지만 항상 정답은 없어
책을 봐도 안 읽혀 핸드폰은 재밌어
하기 싫은 일투성이지만 약속은 지켜
어른이 되는 건 뭘까
잘되지가 않는 공감
어른이 되기엔 한참 
갈 길이 너무나 멀다
앞으로 가도 옆으로 가도 시간은 빠르게 흘러
어차피 인생은 한 번일 뿐 지금 이 순간을 즐겨
시간아 멈춰 멈춰
멈춰 멈춰
멈춰 멈춰
하기 싫어 서, 어른
시간아 멈춰 멈춰
멈춰 멈춰
멈춰 멈춰
하기 싫어 서, 어른
스무 살이 지난 후로 시간은 너무 빨리 가
민증 어제 나온 느낌인데 벌써 30이야
영원할 것 같던 10대는 기억도 잘 안 나
20대는 생각보다 너무 빨리 지나가
후회를 안 남겼다면 음 다 거짓말이고
난 아직도 내 꿈을 계속 찾는 중이고
30되면 다 이룰 줄 알았던 건 꿈이지만
포긴 없어 내 길은 내가 결정해 Keep going"
업고놀자,오담률,"조용했던 이 고을에 
언제부턴가 들려 곡소리
아따 마 사부작 거리네 뭔 일 있나 하고 봤더니
옆 동네 이사 온 아낙네 연예인 저리 가라네 
될 때 까지 파뿌리 아님 대 대 대 대 대 머리
같이 먹자 데낄라 오늘은 no 막걸리 
내가 단단히 미칬나 있고 싶어 단둘이
눈치 보지 않아 굳이 난 이런 느낌 처음이야
해줘 맞장구 그대와의 짝짝궁
나 취했네 취했네 더 이상은 위험해 위험해
미안해 이런 내 모습 을 귀엽게 넘기네 
이럼 반칙이지 머리 부터 발까지
맘에 들어 어서 올려 결혼 식 식 식 식
해이 해이 해이 해이 흔들어라 탬버린
해이 해이 해이 해이 울려라 꽹가리
내 새까만 머리가 될때까지 하얀 파뿌리
될래 난 애 아버지 니가 해 어머니 
업고 놀자 
주모 한병더 주소
업고 놀자 
자기야 사랑해 baby~
업고 놀자  
이리오너라 
업고 놀자 하
얼씨구 절 절씨구 
같이 걷자고 팔짱기구
너 없는 인생은 비루해
비록 오늘이 처음일지라도 
네 얼굴이 기가막혀 자꾸만 애가타서
쳐다보다 해가 다 져 서 울엄마
키워봤자 소용없다 아들놈의 쉐끼들
신붓감 데려올게요 엄마
나 취했네 취했네 더 이상은 위험해 위험해
미안해 이런 내 모습 을 귀엽게 넘기네 
이럼 반칙이지 머리 부터 발까지
맘에 들어 어서 올려 결혼 식 식 식 식
해이 해이 해이 해이 흔들어라 탬버린
해이 해이 해이 해이 울려라 꽹가리
내 새까만 머리가 될때까지 하얀 파뿌리
될래 난 애 아버지 니가 해 어머니 
업고 놀자
술이 들어 간다
업고 놀자 
쭈욱 쭉 쭉 쭉 쭉
업고 놀자 
이리오너라 
업고 놀자 하
발병 난다
가지 마라
사랑한다 
이리오너라 
업고 놀자 지화자
에헤라디야 
에헤라디야
에헤라디야
아 어절 어절 어절 씨구
에헤라디야 
에헤라디야
이리오너라 
업고 놀자 ㅋㅋㅋ"
모르겠단 말이야,아우릴고트 (OUREALGOAT),"1 &amp; 2 &amp; 3 &amp; 4 우리 사이는 So far away
이유를 묻는다면
모르겠단 말이야
부딪혀 유치한 상황 속에 서로는 밀쳐 또
이기적이라는 말을 들어 밤을 새우며
다신 보지 말자는 우리 대화를 보면
너무 멀어진 것 같아
1 &amp; 2 &amp; 3 &amp; 4 늘어나는 너와의 Day
가끔 다툴 때면
머린 복잡해
1 &amp; 2 &amp; 3 &amp; 4 우리 사이는 So far away
이유를 묻는다면
모르겠단 말이야
Oh
내게 언젠가부터
조금도 남지 않은 것 만 같아 미련
I'm not okay 아플 때면
더 이상은 쓰고 싶지 않아 신경
안개가 자욱하게 껴있는 날은
우리 미래같이 막막해
정 없이 변해버린 너의 표정
모든 게 이젠 지겹기만 해
하나도 감흥 없이
무뎌진 날 보면
끝인가 싶네
아직도 그 이유를
모르겠는데
1 &amp; 2 &amp; 3 &amp; 4 늘어나는 너와의 Day
가끔 다툴 때면
머린 복잡해
1 &amp; 2 &amp; 3 &amp; 4 우리 사이는 So far away
이유를 묻는다면
모르겠단 말이야
Oh"
"노래(Norae) (Feat. 김동우, 가혁)",진일,"I got my perfect day
그때의 난 feel like new
(Mmm Mmm)
Oh 두번째 birthday
내 노래 불러 난 woo (yeah yeah)
웃지 못했던 날을 보낸
나를 위해 울어주던 그땔
yeah 내 전부를 위해
더 불러 난 노래 난 woo
Everday 괜찮은 척 ok (ok)
애써 웃어 보이며 ok (ok)
나를 향해 지금은 어때
I'm sorry 난 폰을 껐어 allday
더는 나에게 묻지마
아팠던 시간들이 지나 (uh uh)
울렸던 친구들의 전화
절대 잊지못해 여태 난 (yeah)
아직도 이 파도위를 헤엄
몸에는 그때의 향이 또 베어
아직도 눈물이 나는 것 같은 그대여
이제는 내가 지켜야지 불에 안 데어
갚을게 많아 난 뭐든 할 테니
내 품에 안아 전부를 보태리
평생을 날 위해 보냈던 mom and pa
오랜 기억들을
마음에 두고 웃음이 베길
I got my perfect day
그때의 난 feel like new
(Mmm Mmm)
Oh 두번째 birthday
내 노래 불러 난 woo (yeah yeah)
웃지 못했던 날을 보낸
나를 위해 울어주던 그땔
yeah 내 전부를 위해
더 불러 난 노래 난 woo
내 전부를 위해 난 불러 노래
(라라라)
힘들었던 과거는 이제 다 손때
내게 욕을 하던 사람들도
흔들리네 고개
이제 다 지났어 상처들은
점점 커져 나란 놈의 몸값
많이 굴러갈수록 올라
친한척 하지마 난 이제 너 몰라
진짜로 몰라
이번 연도에 절반들이 흘러가고
난 다음 연도에 할 것 들의
계획들을 잡고
보여줘야 돼 네 전화가 다시 오지않게
절대 멈출 순 없나봐
좋은 바람과 난 함께 woo
I got my perfect day
그때의 난 feel like new
(Mmm Mmm)
Oh 두번째 birthday
내 노래 불러 난 woo (yeah yeah)
웃지 못했던 날을 보낸
나를 위해 울어주던 그땔
yeah 내 전부를 위해
더 불러 난 노래 난 woo
I got my perfect day
그때의 난 feel like new
(Mmm Mmm)
Oh 두번째 birthday
내 노래 불러 난 woo (yeah yeah)
웃지 못했던 날을 보낸
나를 위해 울어주던 그땔
yeah 내 전부를 위해
더 불러 난 노래 난 woo
Woo"
Set The Game (Feat. Raphael),KHAN,"내 flow 시작 되면 전부 game set
해는 지고 달이 뜨길 I pray
여기 전부 끝났다고 할때도
내 입가엔 미소가 다시 눈 감고 on my way
yeah I don't need a rhyme sitter
내 가사는 저 놈들의 f**kin life sitter
니가 부정해도 Im on nother league uh
나랑 쟤넨 섞일 수가 없어 어따 비벼
내 flow 는 타고 가지
태평양에 끝까지 
파도 타고 멀리 날아
가길 빌어 애 같이
어린 소년의 마음으로
always chasin dream
젊은 날엔 젊을을 모르듯
꿈을 꿔 아직
다들 내 꿈이 너무 크다 말해도 사실
내 인생은 내가 만드는거야 I don't trust nobody
그렇기에 내 성공은 아무도 예측할수 없어
니가 답이없는 큰아들로 성장한것 처럼
I swear to god 
오직 신만이 내 땀들의 witness
입만 털던 놈들 
내 앞에서면 천식 환자마냥 헛기침
선택의 여지가 없던 나랑 
멋있을려고 하는 너넨 달라
내 상처에 핀 진물은 금빛을 띄니
I never rust like
여전히 나는 날 믿어
차피 쟤넨 한입거리 like dessert
수 많은 유혹속에 나의 인생은 매번
드라마를 찍어 they ain't feelin us 
내 flow 시작 되면 전부 game set
해는 지고 달이 뜨길 I pray
여기 전부 끝났다고 할때도
내 입가엔 미소가 다시 눈 감고 on my way
yeah I don't need a rhyme sitter
내 가사는 저 놈들의 f**kin life sitter
니가 부정해도 Im on nother league uh
나랑 쟤넨 섞일 수가 없어 어따 비벼
눈 크게 떠 네가 볼건 dynasty in the makin'
All you suckaz better bring our rings
내 출신 반도 하나 우린 다른 리그
내 그림자 뒤나 밟아 내가 날 때 하늘 위
Honestly, MFs can’t stop
나의 스쿼드 신경 안써 running through ya block
이 기세 못 막아 I just posterize 
마이크 쥔 내 오른손을 봐 Baby It’s on fire
난 선택받은 놈 I’m the chosen one
2000's Bron처럼 노려 Throne
Ayo, LEAN$MOKE 
Let me show 'em how it goes 
경기장에 808 드럼 울리면 난리 uh
4LIFE we be the set
Game time 적을 마주하면 we just dance
내 숨소리 들리면 game set
This that Goon squad onna roof
내 개들과 나 짖어대
내 flow 시작 되면 전부 game set
해는 지고 달이 뜨길 I pray
여기 전부 끝났다고 할때도
내 입가엔 미소가 다시 눈 감고 on my way
yeah I don't need a rhyme sitter
내 가사는 저 놈들의 f**kin life sitter
니가 부정해도 Im on nother league uh
나랑 쟤넨 섞일 수가 없어 어따 비벼"
